Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0603_1608Metric",137.000000,-76.000000,180.000000,top
"C4","1uF","C_0603_1608Metric",152.000000,-74.000000,180.000000,top
"C5","1uF","C_0603_1608Metric",152.000000,-77.500000,180.000000,top
"C6","0.1uF","C_0603_1608Metric",147.225000,-74.000000,0.000000,top
"C7","0.1uF","C_0603_1608Metric",147.225000,-77.500000,180.000000,top
"C8","0.1uF","C_0603_1608Metric",160.075000,-53.500000,180.000000,top
"C9","0.1uF","C_0603_1608Metric",160.500000,-67.500000,0.000000,top
"C10","0.1uF","C_0603_1608Metric",160.500000,-71.000000,0.000000,top
"C11","1uF","C_0603_1608Metric",160.565000,-75.610000,-90.000000,top
"C12","0.1uF","C_0603_1608Metric",177.500000,-74.000000,180.000000,top
"C13","0.1uF","C_0603_1608Metric",194.799239,-68.250000,180.000000,top
"C14","10uF","C_0603_1608Metric",200.025000,-76.000000,0.000000,top
"C15","0.1uF","C_0603_1608Metric",189.025000,-76.000000,0.000000,top
"C16","1uF","C_0603_1608Metric",194.750000,-72.250000,0.000000,top
"D1","BZX84Cxx","SOT-23",169.675000,-71.062500,90.000000,top
"D2","ARM10_DEBUG","ARM10_DEBUG",193.500000,-54.810000,180.000000,top
"J1","Screw_Terminal_01x05","TerminalBlock_Phoenix_PT-1,5-5-5.0-H_1x05_P5.00mm_Horizontal",118.000000,-59.000000,-90.000000,top
"J2","RFShield_OnePiece","Wuerth_36103305_30x30mm",148.408455,-65.250000,0.000000,top
"J3","Debug","PinHeader_2x05_P2.54mm_Vertical",169.060000,-79.060000,0.000000,top
"J4","Conn_01x03","TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",180.550000,-53.050000,180.000000,top
"J5","Micro_SD_Card","microSD_HC_Molex_104031-0811",205.000000,-84.600000,180.000000,top
"J7","Conn_01x04_Socket","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",202.000000,-50.200000,180.000000,top
"J8","Conn_01x10","PinHeader_1x10_P2.54mm_Horizontal",246.400000,-58.100000,0.000000,top
"J9","Rsense","PinHeader_1x02_P2.54mm_Vertical",128.500000,-66.800000,180.000000,top
"Q1","BSS123","SOT-23",176.737500,-63.000000,0.000000,top
"Q2","L8050QLT1G","SOT-23",161.037500,-84.750000,0.000000,top
"Q3","L8050QLT1G","SOT-23",154.037500,-88.750000,0.000000,top
"R1","100k","R_0603_1608Metric",145.420000,-57.000000,0.000000,top
"R2","100k","R_0603_1608Metric",145.420000,-54.000000,0.000000,top
"R3","10k","R_0603_1608Metric",145.700000,-67.000000,0.000000,top
"R4","330m","R_0603_1608Metric",138.355000,-64.000000,0.000000,top
"R5","10k","R_0603_1608Metric",145.675000,-70.500000,0.000000,top
"R6","100k","R_0603_1608Metric",150.500000,-54.000000,0.000000,top
"R7","100k","R_0603_1608Metric",150.500000,-57.000000,0.000000,top
"R8","499k","R_0603_1608Metric",149.900000,-67.000000,0.000000,top
"R9","499k","R_0603_1608Metric",149.865000,-70.500000,0.000000,top
"R10","510","R_0603_1608Metric",169.675000,-62.000000,180.000000,top
"R11","510","R_0603_1608Metric",169.675000,-66.000000,0.000000,top
"R12","10k","R_0603_1608Metric",170.800000,-76.000000,180.000000,top
"R13","47k","R_0603_1608Metric",182.500000,-63.000000,180.000000,top
"R14","10k","R_0603_1608Metric",183.075000,-76.000000,0.000000,top
"R15","10k","R_0603_1608Metric",194.825000,-76.000000,180.000000,top
"R16","1M","R_0603_1608Metric",242.200000,-58.400000,180.000000,top
"R17","1M","R_0603_1608Metric",242.200000,-55.400000,0.000000,top
"R19","10k","R_0603_1608Metric",154.075000,-84.200000,0.000000,top
"R20","10k","R_0603_1608Metric",160.675000,-89.100000,180.000000,top
"RN1","10k","R_Array_Convex_4x0603",205.800000,-75.900000,90.000000,top
"SW1","BOOT","SW_Push_1P1T_NO_CK_KSC7xxJ",187.000000,-69.500000,0.000000,top
"SW2","EN","SW_Push_1P1T_NO_CK_KSC7xxJ",202.500000,-69.250000,0.000000,top
"SW3","SW_SPDT","JS102011SCQN",211.500000,-52.000000,0.000000,top
"U1","MAX9944","SOIC127P600X155-8N",139.035000,-56.095000,0.000000,top
"U2","INA296A","SOT-23-8",138.362500,-68.175000,0.000000,top
"U3","REF2033","SOT-23-5",141.875000,-75.790000,0.000000,top
"U4","THS4532","SOP65P640X120-16N",147.900000,-61.800000,0.000000,top
"U5","TPS60400DBV","SOT-23-5",156.817500,-75.575000,0.000000,top
"U6","ADS1219","TSSOP65P640X120-16",160.900000,-57.665000,-90.000000,top
"U7","SN74LVC1G240","SOT-23-5",176.675000,-69.050000,180.000000,top
"U8","ESP32-C3-WROOM-02-N4","MODULE_ESP32-C3-WROOM-02-N4",186.200000,-88.100000,180.000000,top
"U10","Wio-E5 mini","WIO-E5_MINI",216.843331,-62.172127,0.000000,top
"U11","MB85RC1MT","SOP127P505X155-8N",207.000000,-60.950000,0.000000,top
"U12","MB85RC1MT","SOP127P505X155-8N",193.250000,-61.000000,0.000000,top
